"Account_Age_Days,Login_Frequency,Daily_Usage_Mins,Last_Support_Ticket,Churn,Account_Age_Months,Contract_Type,Tenure_Range,Risk_Score,Risk_Level"
"874,0,70,The integration with Slack works perfectly.,0,29.133333333333333,Biennial,2+ Years,0.0,Low"
"627,2,55,I need to update my billing address.,0,20.9,Annual,1-2 Years,0.06,Low"
"525,0,15,When will the maintenance window end?,0,17.5,Annual,1-2 Years,0.03,Low"
"1093,2,46,Is there a tutorial for the new dashboard feature?,0,36.43333333333333,Biennial,2+ Years,0.07,Low"
"991,2,20,How do I change my password?,0,33.03333333333333,Biennial,2+ Years,0.55,Medium"
"684,1,5,The app crashes every time I try to upload a CSV.,1,22.8,Annual,1-2 Years,0.995,Very High"
"926,0,58,Is there a tutorial for the new dashboard feature?,0,30.866666666666667,Biennial,2+ Years,0.06,Low"
"555,2,23,I need to update my billing address.,0,18.5,Annual,1-2 Years,0.025,Low"
"666,1,3,The UI is too confusing. I can't find the export button.,0,22.2,Annual,1-2 Years,0.395,Low"
"313,2,8,Your API documentation is outdated and full of errors.,1,10.433333333333334,Month-to-month,6-12 Months,0.985,Very High"
"504,0,23,Can I add more seats to my current plan?,1,16.8,Annual,1-2 Years,0.635,High"
"543,0,51,When will the maintenance window end?,0,18.1,Annual,1-2 Years,0.05,Low"
"533,2,51,Just checking if my payment went through.,0,17.766666666666666,Annual,1-2 Years,0.06,Low"
"815,0,22,Is there a tutorial for the new dashboard feature?,0,27.166666666666668,Biennial,2+ Years,0.01,Low"
"446,1,12,I'm very frustrated with the downtime. This is unacceptable.,1,14.866666666666667,Annual,1-2 Years,0.995,Very High"
"350,1,8,Why did my subscription price increase without notice?,0,11.666666666666666,Month-to-month,6-12 Months,0.365,Low"
"732,2,16,I need to update my billing address.,0,24.4,Biennial,2+ Years,0.01,Low"
"662,1,11,Your API documentation is outdated and full of errors.,1,22.066666666666666,Annual,1-2 Years,0.995,Very High"
"627,2,8,Your API documentation is outdated and full of errors.,1,20.9,Annual,1-2 Years,0.99,Very High"
"294,2,33,Just checking if my payment went through.,0,9.8,Month-to-month,6-12 Months,0.02,Low"
"986,2,13,I've been waiting for support for 3 days. I'm cancelling.,0,32.86666666666667,Biennial,2+ Years,0.2,Low"
"758,0,82,""Smooth experience so far, no complaints."",0,25.266666666666666,Biennial,2+ Years,0.0,Low"
"388,1,5,The app crashes every time I try to upload a CSV.,1,12.933333333333334,Annual,1-2 Years,0.995,Very High"
"425,1,7,The UI is too confusing. I can't find the export button.,1,14.166666666666666,Annual,1-2 Years,0.995,Very High"
"213,0,82,Customer support was super helpful yesterday. Thanks!,0,7.1,Month-to-month,6-12 Months,0.01,Low"
"821,0,95,""Smooth experience so far, no complaints."",0,27.366666666666667,Biennial,2+ Years,0.025,Low"
"467,2,24,Can I add more seats to my current plan?,0,15.566666666666666,Annual,1-2 Years,0.005,Low"
"112,2,17,I need to update my billing address.,0,3.7333333333333334,Month-to-month,0-6 Months,0.075,Low"
"415,2,9,I'm very frustrated with the downtime. This is unacceptable.,1,13.833333333333334,Annual,1-2 Years,0.89,Very High"
"224,0,54,When will the maintenance window end?,0,7.466666666666667,Month-to-month,6-12 Months,0.03,Low"
"246,0,39,Is there a tutorial for the new dashboard feature?,0,8.2,Month-to-month,6-12 Months,0.02,Low"
"118,2,9,Why did my subscription price increase without notice?,1,3.933333333333333,Month-to-month,0-6 Months,1.0,Very High"
"637,0,33,I need to update my billing address.,0,21.233333333333334,Annual,1-2 Years,0.025,Low"
"277,2,46,How do I change my password?,1,9.233333333333333,Month-to-month,6-12 Months,0.205,Low"
"122,2,8,Your API documentation is outdated and full of errors.,1,4.066666666666666,Month-to-month,0-6 Months,0.945,Very High"
"253,0,15,Can I add more seats to my current plan?,0,8.433333333333334,Month-to-month,6-12 Months,0.25,Low"
"959,2,4,The UI is too confusing. I can't find the export button.,1,31.966666666666665,Biennial,2+ Years,0.855,Very High"
"758,0,59,I need to update my billing address.,0,25.266666666666666,Biennial,2+ Years,0.02,Low"
"425,2,28,I need to update my billing address.,0,14.166666666666666,Annual,1-2 Years,0.09,Low"
"414,2,8,Your API documentation is outdated and full of errors.,1,13.8,Annual,1-2 Years,0.985,Very High"
"286,2,51,Is there a tutorial for the new dashboard feature?,0,9.533333333333333,Month-to-month,6-12 Months,0.01,Low"
"429,2,9,I'm very frustrated with the downtime. This is unacceptable.,1,14.3,Annual,1-2 Years,0.91,Very High"
"83,0,58,Customer support was super helpful yesterday. Thanks!,0,2.7666666666666666,Month-to-month,0-6 Months,0.01,Low"
"522,0,56,Just checking if my payment went through.,0,17.4,Annual,1-2 Years,0.03,Low"
"91,0,24,When will the maintenance window end?,0,3.033333333333333,Month-to-month,0-6 Months,0.09,Low"
"708,2,58,I need to update my billing address.,0,23.6,Annual,1-2 Years,0.09,Low"
"423,0,45,Is there a tutorial for the new dashboard feature?,1,14.1,Annual,1-2 Years,0.645,High"
"146,0,113,Customer support was super helpful yesterday. Thanks!,0,4.866666666666666,Month-to-month,0-6 Months,0.04,Low"
"155,0,40,When will the maintenance window end?,0,5.166666666666667,Month-to-month,0-6 Months,0.105,Low"
"629,0,47,""Smooth experience so far, no complaints."",0,20.966666666666665,Annual,1-2 Years,0.0,Low"
"792,2,49,How do I change my password?,0,26.4,Biennial,2+ Years,0.025,Low"
"693,2,14,The UI is too confusing. I can't find the export button.,1,23.1,Annual,1-2 Years,0.91,Very High"
"632,2,44,Just checking if my payment went through.,0,21.066666666666666,Annual,1-2 Years,0.025,Low"
"843,2,55,I need to update my billing address.,0,28.1,Biennial,2+ Years,0.045,Low"
"1067,2,13,The app crashes every time I try to upload a CSV.,1,35.56666666666667,Biennial,2+ Years,0.815,Very High"
"664,2,27,How do I change my password?,0,22.133333333333333,Annual,1-2 Years,0.185,Low"
"722,0,101,This tool has saved my team so much time.,0,24.066666666666666,Biennial,1-2 Years,0.0,Low"
"82,2,7,Why did my subscription price increase without notice?,1,2.7333333333333334,Month-to-month,0-6 Months,1.0,Very High"
"320,0,34,How do I change my password?,1,10.666666666666666,Month-to-month,6-12 Months,0.715,High"
"918,0,29,Is there a tutorial for the new dashboard feature?,0,30.6,Biennial,2+ Years,0.035,Low"
"551,2,2,I'm very frustrated with the downtime. This is unacceptable.,0,18.366666666666667,Annual,1-2 Years,0.25,Low"
"162,2,40,I need to update my billing address.,0,5.4,Month-to-month,0-6 Months,0.06,Low"
"798,2,20,How do I change my password?,1,26.6,Biennial,2+ Years,0.65,High"
"154,1,2,I've been waiting for support for 3 days. I'm cancelling.,1,5.133333333333334,Month-to-month,0-6 Months,1.0,Very High"
"624,2,2,The app crashes every time I try to upload a CSV.,1,20.8,Annual,1-2 Years,1.0,Very High"
"135,1,5,Why did my subscription price increase without notice?,1,4.5,Month-to-month,0-6 Months,0.95,Very High"
"694,0,24,How do I change my password?,0,23.133333333333333,Annual,1-2 Years,0.035,Low"
"722,1,8,I've been waiting for support for 3 days. I'm cancelling.,1,24.066666666666666,Biennial,1-2 Years,0.95,Very High"
"66,1,10,Your API documentation is outdated and full of errors.,1,2.2,Month-to-month,0-6 Months,0.995,Very High"
"858,1,12,Why did my subscription price increase without notice?,1,28.6,Biennial,2+ Years,0.91,Very High"
"1018,0,65,Customer support was super helpful yesterday. Thanks!,0,33.93333333333333,Biennial,2+ Years,0.005,Low"
"586,0,58,The integration with Slack works perfectly.,0,19.533333333333335,Annual,1-2 Years,0.0,Low"
"311,2,5,The app crashes every time I try to upload a CSV.,1,10.366666666666667,Month-to-month,6-12 Months,0.985,Very High"
"561,2,29,Is there a tutorial for the new dashboard feature?,1,18.7,Annual,1-2 Years,0.705,High"
"670,0,77,The integration with Slack works perfectly.,0,22.333333333333332,Annual,1-2 Years,0.0,Low"
"435,0,82,The integration with Slack works perfectly.,0,14.5,Annual,1-2 Years,0.0,Low"
"812,0,51,How do I change my password?,0,27.066666666666666,Biennial,2+ Years,0.08,Low"
"90,0,35,Can I add more seats to my current plan?,0,3.0,Month-to-month,0-6 Months,0.035,Low"
"350,1,5,Your API documentation is outdated and full of errors.,1,11.666666666666666,Month-to-month,6-12 Months,0.96,Very High"
"32,1,11,I'm very frustrated with the downtime. This is unacceptable.,1,1.0666666666666667,Month-to-month,0-6 Months,0.99,Very High"
"199,1,4,Why did my subscription price increase without notice?,1,6.633333333333334,Month-to-month,6-12 Months,0.915,Very High"
"568,2,55,How do I change my password?,1,18.933333333333334,Annual,1-2 Years,0.655,High"
"664,0,82,Customer support was super helpful yesterday. Thanks!,0,22.133333333333333,Annual,1-2 Years,0.09,Low"
"236,2,8,The app crashes every time I try to upload a CSV.,1,7.866666666666666,Month-to-month,6-12 Months,0.985,Very High"
"522,1,11,The app crashes every time I try to upload a CSV.,0,17.4,Annual,1-2 Years,0.375,Low"
"982,0,58,Can I add more seats to my current plan?,0,32.733333333333334,Biennial,2+ Years,0.215,Low"
"198,2,33,How do I change my password?,0,6.6,Month-to-month,6-12 Months,0.08,Low"
"689,2,41,Can I add more seats to my current plan?,0,22.966666666666665,Annual,1-2 Years,0.015,Low"
"297,1,6,I'm very frustrated with the downtime. This is unacceptable.,1,9.9,Month-to-month,6-12 Months,0.995,Very High"
"1051,0,19,Is there a tutorial for the new dashboard feature?,1,35.03333333333333,Biennial,2+ Years,0.7,High"
"722,1,7,The UI is too confusing. I can't find the export button.,1,24.066666666666666,Biennial,1-2 Years,0.98,Very High"
"667,0,76,I love the new analytics feature! Great job.,0,22.233333333333334,Annual,1-2 Years,0.005,Low"
"175,0,99,""Just upgraded to the Pro plan, excited to use it."",0,5.833333333333333,Month-to-month,0-6 Months,0.0,Low"
"1011,1,14,Why did my subscription price increase without notice?,0,33.7,Biennial,2+ Years,0.345,Low"
"427,2,24,How do I change my password?,0,14.233333333333333,Annual,1-2 Years,0.125,Low"
"652,0,76,""Smooth experience so far, no complaints."",0,21.733333333333334,Annual,1-2 Years,0.0,Low"
"903,2,7,Your API documentation is outdated and full of errors.,1,30.1,Biennial,2+ Years,0.915,Very High"
"865,0,45,When will the maintenance window end?,0,28.833333333333332,Biennial,2+ Years,0.0,Low"
"435,1,1,The app crashes every time I try to upload a CSV.,1,14.5,Annual,1-2 Years,1.0,Very High"
"1069,2,23,Can I add more seats to my current plan?,0,35.63333333333333,Biennial,2+ Years,0.105,Low"
"318,2,8,The UI is too confusing. I can't find the export button.,1,10.6,Month-to-month,6-12 Months,0.99,Very High"
"339,0,119,This tool has saved my team so much time.,0,11.3,Month-to-month,6-12 Months,0.0,Low"
"848,0,73,""Smooth experience so far, no complaints."",0,28.266666666666666,Biennial,2+ Years,0.0,Low"
"698,2,14,The app crashes every time I try to upload a CSV.,0,23.266666666666666,Annual,1-2 Years,0.995,Very High"
"442,0,83,""Smooth experience so far, no complaints."",0,14.733333333333333,Annual,1-2 Years,0.15,Low"
"96,0,60,""Smooth experience so far, no complaints."",0,3.2,Month-to-month,0-6 Months,0.025,Low"
"488,0,36,How do I change my password?,0,16.266666666666666,Annual,1-2 Years,0.065,Low"
"867,0,53,How do I change my password?,0,28.9,Biennial,2+ Years,0.055,Low"
"952,2,58,Can I add more seats to my current plan?,0,31.733333333333334,Biennial,2+ Years,0.265,Low"
"521,2,59,Can I add more seats to my current plan?,0,17.366666666666667,Annual,1-2 Years,0.14,Low"
"1084,2,10,I'm very frustrated with the downtime. This is unacceptable.,1,36.13333333333333,Biennial,2+ Years,0.89,Very High"
"98,0,70,I love the new analytics feature! Great job.,0,3.2666666666666666,Month-to-month,0-6 Months,0.075,Low"
"226,2,26,Is there a tutorial for the new dashboard feature?,0,7.533333333333333,Month-to-month,6-12 Months,0.03,Low"
"356,2,33,Just checking if my payment went through.,0,11.866666666666667,Month-to-month,6-12 Months,0.02,Low"
"982,0,49,""Just upgraded to the Pro plan, excited to use it."",1,32.733333333333334,Biennial,2+ Years,0.605,High"
"763,0,101,This tool has saved my team so much time.,0,25.433333333333334,Biennial,2+ Years,0.0,Low"
"202,2,14,I've been waiting for support for 3 days. I'm cancelling.,0,6.733333333333333,Month-to-month,6-12 Months,0.275,Low"
"62,1,14,Your API documentation is outdated and full of errors.,1,2.066666666666667,Month-to-month,0-6 Months,0.965,Very High"
"605,0,68,This tool has saved my team so much time.,0,20.166666666666668,Annual,1-2 Years,0.0,Low"
"1011,0,25,How do I change my password?,0,33.7,Biennial,2+ Years,0.16,Low"
"149,2,12,Why did my subscription price increase without notice?,1,4.966666666666667,Month-to-month,0-6 Months,0.975,Very High"
"390,2,1,The UI is too confusing. I can't find the export button.,1,13.0,Annual,1-2 Years,0.83,Very High"
"201,2,7,Why did my subscription price increase without notice?,1,6.7,Month-to-month,6-12 Months,0.96,Very High"
"1069,0,97,This tool has saved my team so much time.,0,35.63333333333333,Biennial,2+ Years,0.0,Low"
"635,0,117,""Smooth experience so far, no complaints."",0,21.166666666666668,Annual,1-2 Years,0.025,Low"
"1010,0,74,This tool has saved my team so much time.,0,33.666666666666664,Biennial,2+ Years,0.0,Low"
"95,2,31,Can I add more seats to my current plan?,0,3.1666666666666665,Month-to-month,0-6 Months,0.095,Low"
"869,1,8,Your API documentation is outdated and full of errors.,1,28.966666666666665,Biennial,2+ Years,0.84,Very High"
"442,0,83,""Just upgraded to the Pro plan, excited to use it."",0,14.733333333333333,Annual,1-2 Years,0.08,Low"
"1030,2,8,I'm very frustrated with the downtime. This is unacceptable.,0,34.333333333333336,Biennial,2+ Years,0.35,Low"
"405,2,5,Why did my subscription price increase without notice?,1,13.5,Annual,1-2 Years,0.92,Very High"
"1057,1,2,I've been waiting for support for 3 days. I'm cancelling.,1,35.233333333333334,Biennial,2+ Years,0.96,Very High"
"78,0,53,Just checking if my payment went through.,1,2.6,Month-to-month,0-6 Months,0.885,Very High"
"349,2,46,I need to update my billing address.,1,11.633333333333333,Month-to-month,6-12 Months,0.17,Low"
"1005,0,100,""Just upgraded to the Pro plan, excited to use it."",0,33.5,Biennial,2+ Years,0.0,Low"
"1087,0,52,I love the new analytics feature! Great job.,0,36.233333333333334,Biennial,2+ Years,0.01,Low"
"765,2,3,I'm very frustrated with the downtime. This is unacceptable.,0,25.5,Biennial,2+ Years,0.695,High"
"456,2,21,Can I add more seats to my current plan?,0,15.2,Annual,1-2 Years,0.015,Low"
"961,2,4,I've been waiting for support for 3 days. I'm cancelling.,0,32.03333333333333,Biennial,2+ Years,0.22,Low"
"214,2,10,Your API documentation is outdated and full of errors.,1,7.133333333333334,Month-to-month,6-12 Months,0.99,Very High"
"474,0,20,I need to update my billing address.,1,15.8,Annual,1-2 Years,0.895,Very High"
"901,1,5,The UI is too confusing. I can't find the export button.,1,30.033333333333335,Biennial,2+ Years,0.98,Very High"
"49,2,12,The app crashes every time I try to upload a CSV.,1,1.6333333333333333,Month-to-month,0-6 Months,0.955,Very High"
"356,2,43,I need to update my billing address.,0,11.866666666666667,Month-to-month,6-12 Months,0.2,Low"
"147,0,47,Is there a tutorial for the new dashboard feature?,0,4.9,Month-to-month,0-6 Months,0.035,Low"
"468,0,57,The integration with Slack works perfectly.,0,15.6,Annual,1-2 Years,0.0,Low"
"1055,0,64,This tool has saved my team so much time.,0,35.166666666666664,Biennial,2+ Years,0.0,Low"
"924,0,71,This tool has saved my team so much time.,0,30.8,Biennial,2+ Years,0.0,Low"
"51,0,49,Just checking if my payment went through.,0,1.7,Month-to-month,0-6 Months,0.36,Low"
"448,2,45,I need to update my billing address.,0,14.933333333333334,Annual,1-2 Years,0.095,Low"
"775,0,79,This tool has saved my team so much time.,0,25.833333333333332,Biennial,2+ Years,0.0,Low"
"40,2,28,Just checking if my payment went through.,0,1.3333333333333333,Month-to-month,0-6 Months,0.225,Low"
"181,1,14,I've been waiting for support for 3 days. I'm cancelling.,1,6.033333333333333,Month-to-month,6-12 Months,0.81,Very High"
"452,2,4,The UI is too confusing. I can't find the export button.,0,15.066666666666666,Annual,1-2 Years,0.405,Medium"
"19,0,57,Customer support was super helpful yesterday. Thanks!,0,0.6333333333333333,Month-to-month,0-6 Months,0.03,Low"
"101,0,53,The integration with Slack works perfectly.,1,3.3666666666666667,Month-to-month,0-6 Months,0.605,High"
"311,2,8,I'm very frustrated with the downtime. This is unacceptable.,1,10.366666666666667,Month-to-month,6-12 Months,0.95,Very High"
"174,2,1,Your API documentation is outdated and full of errors.,1,5.8,Month-to-month,0-6 Months,0.63,High"
"779,1,1,The app crashes every time I try to upload a CSV.,1,25.966666666666665,Biennial,2+ Years,0.985,Very High"
"883,0,43,When will the maintenance window end?,0,29.433333333333334,Biennial,2+ Years,0.0,Low"
"931,2,58,Just checking if my payment went through.,0,31.033333333333335,Biennial,2+ Years,0.075,Low"
"267,2,48,Just checking if my payment went through.,0,8.9,Month-to-month,6-12 Months,0.02,Low"
"1026,0,43,I need to update my billing address.,0,34.2,Biennial,2+ Years,0.015,Low"
"849,1,1,The UI is too confusing. I can't find the export button.,1,28.3,Biennial,2+ Years,0.955,Very High"
"594,2,52,I need to update my billing address.,0,19.8,Annual,1-2 Years,0.0,Low"
"128,0,32,Just checking if my payment went through.,0,4.266666666666667,Month-to-month,0-6 Months,0.02,Low"
"611,2,14,The app crashes every time I try to upload a CSV.,1,20.366666666666667,Annual,1-2 Years,0.995,Very High"
"360,2,43,When will the maintenance window end?,0,12.0,Annual,6-12 Months,0.045,Low"
"601,0,107,The integration with Slack works perfectly.,0,20.033333333333335,Annual,1-2 Years,0.0,Low"
"715,2,20,I need to update my billing address.,0,23.833333333333332,Annual,1-2 Years,0.02,Low"
"621,2,19,When will the maintenance window end?,0,20.7,Annual,1-2 Years,0.1,Low"
"875,1,5,Your API documentation is outdated and full of errors.,1,29.166666666666668,Biennial,2+ Years,0.945,Very High"
"691,0,96,Customer support was super helpful yesterday. Thanks!,0,23.033333333333335,Annual,1-2 Years,0.0,Low"
"607,0,104,""Just upgraded to the Pro plan, excited to use it."",0,20.233333333333334,Annual,1-2 Years,0.005,Low"
"166,0,49,The integration with Slack works perfectly.,0,5.533333333333333,Month-to-month,0-6 Months,0.1,Low"
"50,0,20,I need to update my billing address.,1,1.6666666666666667,Month-to-month,0-6 Months,0.775,High"
"748,2,10,The app crashes every time I try to upload a CSV.,1,24.933333333333334,Biennial,2+ Years,0.955,Very High"
"256,2,55,When will the maintenance window end?,0,8.533333333333333,Month-to-month,6-12 Months,0.085,Low"
"36,0,105,""Smooth experience so far, no complaints."",0,1.2,Month-to-month,0-6 Months,0.01,Low"
"1089,2,44,Is there a tutorial for the new dashboard feature?,0,36.3,Biennial,2+ Years,0.06,Low"
"450,0,118,This tool has saved my team so much time.,0,15.0,Annual,1-2 Years,0.0,Low"
"636,0,22,I need to update my billing address.,0,21.2,Annual,1-2 Years,0.15,Low"
"319,2,30,I need to update my billing address.,1,10.633333333333333,Month-to-month,6-12 Months,0.78,High"
"912,2,39,Just checking if my payment went through.,0,30.4,Biennial,2+ Years,0.055,Low"
"967,1,1,I'm very frustrated with the downtime. This is unacceptable.,1,32.233333333333334,Biennial,2+ Years,0.94,Very High"
"360,0,15,When will the maintenance window end?,0,12.0,Annual,6-12 Months,0.025,Low"
"1050,0,22,Is there a tutorial for the new dashboard feature?,0,35.0,Biennial,2+ Years,0.115,Low"
"785,2,4,I've been waiting for support for 3 days. I'm cancelling.,1,26.166666666666668,Biennial,2+ Years,0.19,Low"
"499,1,3,The app crashes every time I try to upload a CSV.,1,16.633333333333333,Annual,1-2 Years,0.995,Very High"
